paragraph	polarity	classification	preview
1	-0.153731	NEGATIVE	Olá, podes-te apresentar brevemente? Dizer qual é ...
2	0.074932	NEUTRAL	Esta entrevista vai-se focar, basicamente, na tua ...
3	0.246914	POSITIVE	A tua família ou amigos influenciaram esta decisão...
4	0.096358	NEUTRAL	Relativamente, agora, às organizações e às causas,...
5	0.082287	NEUTRAL	E como é que vieste a ter conhecimento destas asso...
6	0.333226	POSITIVE	E como é que costuma ser o teu dia-a-dia dentro de...
7	0.415730	POSITIVE	Existe alguma experiência marcante que tenhas vivi...
8	0.294792	POSITIVE	Nós vamos então passar à próxima pergunta, que é e...
9	-0.088122	NEUTRAL	Relativamente agora a certos desafios, já enfrenta...
10	-0.151354	NEGATIVE	Como é que tu vês o futuro destas causas? É assim,...
11	0.401907	POSITIVE	E que conselho darias a alguém que quer começar a ...
12	0.145030	POSITIVE	Agora para encerrar, não sei se existe, se há algo...
