paragraph	polarity	classification	preview
1	0.030939	NEUTRAL	Hello, can you briefly introduce yourself? Say you...
2	0.073933	NEUTRAL	This interview will focus mainly on your relations...
3	0.068337	NEUTRAL	Did your family or friends influence your decision...
4	0.030962	NEUTRAL	Now, regarding organizations and causes, which mov...
5	0.112940	POSITIVE	How did you learn about these organizations? Why a...
6	0.067729	NEUTRAL	What does your day-to-day involvement in these cau...
7	0.465138	POSITIVE	Is there a particularly meaningful experience you'...
8	0.012508	NEUTRAL	So, what object did you bring and what does it mea...
9	-0.078894	NEUTRAL	Have you faced any obstacles or difficulties in ac...
10	0.261317	POSITIVE	How do you see the future of these causes? I like ...
11	0.116831	POSITIVE	What advice would you give someone who wants to st...
12	0.084386	NEUTRAL	Lastly, is there anything else you’d like to share...
