Parágrafo,Texto,Sentimento,Positivo,Neutro,Negativo
1,Entrevistadora: Carolina Motta PG56348,NEU,0.04059834033250809,0.9423243403434753,0.017077362164855003
2,Entrevistada: Vitória Ramos,NEU,0.045116208493709564,0.9360763430595398,0.018807431682944298
3,Descrição:,NEU,0.09494216740131378,0.8696847558021545,0.035373058170080185
4,"Entrevista sobre a nossa história de amor, com perguntas e respostas que revelam momentos importantes do nosso relacionamento à distância.",NEU,0.19391728937625885,0.7927709221839905,0.013311748392879963
5,Unidade Curricular:,NEU,0.04140916094183922,0.942993700504303,0.0155971460044384
6,Análise e Visualização de Dados – Mestrado em Humanidades Digitais,NEU,0.03783011436462402,0.9457211494445801,0.016448689624667168
7,Um Oceano de Amor,POS,0.6498209834098816,0.3360697031021118,0.014109289273619652
8,"Entrevistadora: Oi, boa noite.",NEU,0.050502847880125046,0.920070230960846,0.029426995664834976
9,"Entrevistada: Oi, boa noite.",NEU,0.05945534259080887,0.9188591837882996,0.02168552577495575
10,"Entrevistadora: Eu te chamei aqui pra fazer uma entrevista com você, cujo tema é a nossa história de amor. Pra isso, eu queria pedir inicialmente pra você se apresentar.",NEU,0.08924801647663116,0.8780639171600342,0.032688092440366745
11,"Entrevistada: Meu nome é Vitória Ramos, tenho 26 anos, moro em Portugal, mas sou brasileira e estou aqui já há três anos. E sou sua namorada.",NEU,0.12263642996549606,0.8573682308197021,0.01999536342918873
12,"Entrevistadora: Perfeito, Vitória. Sobre a nossa história, você se lembra da primeira mensagem ou conversa que tivemos pela internet?",POS,0.8893095254898071,0.10410239547491074,0.0065880147740244865
13,"Entrevistada: Sim, lembro. Foi pelo Instagram, depois que eu comentei uma foto sua. Passados uns dias, você me mandou uma cantada e depois disso, começamos a conversar pelo Instagram, depois eu pedi seu número e começamos a trocar mensagens também pelo WhatsApp.",NEU,0.109306700527668,0.847337543964386,0.04335569962859154
14,"Entrevistadora: E nesse começo, o que te chamou atenção em mim?",NEU,0.035392146557569504,0.94194096326828,0.02266683243215084
15,"Entrevistada: O que me chamou atenção em você foi sua atenciosidade. A gente estava sempre trocando mensagens, dividindo tudo e compartilhando momentos, mesmo de longe. Você sempre se fez presente nisso e foi uma das coisas que mais me chamou atenção em você.",POS,0.9094091057777405,0.08226883411407471,0.008322067558765411
16,Entrevistadora: Você já imaginava que algo sério poderia surgir?,NEU,0.027941042557358742,0.9609659314155579,0.011093090288341045
17,"Entrevistada: Eu não imaginava que fosse dar tão certo, até pela distância que tinha e tudo, mas conforme íamos conversando, isso foi ficando bem claro que podia se tornar algo a mais.",NEU,0.30199480056762695,0.6310402154922485,0.06696504354476929
18,Entrevistadora: Quem foi a primeira pessoa que você contou que estava conversando comigo naquela época e o que ela disse?,NEU,0.025399785488843918,0.9511857628822327,0.02341446839272976
19,Entrevistada: A primeira pessoa...,NEU,0.08321065455675125,0.8705372214317322,0.04625217989087105
20,"Entrevistadora: Está tudo bem, pode continuar.",POS,0.9182651042938232,0.06825792789459229,0.013476965017616749
